Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2018-08-28,narvar,it,post-purchase customer engagement platform\\xc2\\xa0,bengaluru,accel (formerly known as accel partners),Private Equity,25.05,8.0,2018.0
2018-08-30,true north,finance,private equity firm,mumbai,,Private Equity,5010.0,8.0,2018.0
2018-07-02,biryani by kilo,consumer internet,online food delivery,gurugram,ajay relan and vinay mittal,Seed/ Angel Funding,8.35,7.0,2018.0
2018-07-04,anchanto,it,e-commerce fulfilment platform,pune,mdi ventures & telkom indonesia,Private Equity,33.4,7.0,2018.0
,loan tap,consumer internet,online lending platform for salaried professionals,mumbai,"shunwei capital, tuscan ventures, ashish goenka, vc firms india quotient and kae capital",Private Equity,52.19,,
2018-07-06,policybazaar,consumer internet,online insurance selling platform,gurugram,info edge (india) ltd and temasek,Private Equity,64.3,7.0,2018.0
2018-07-09,zippserv,consumer internet,online platform for risk-assessment services for real estate investments,bengaluru,info edge (india) ltd,Seed/ Angel Funding,3.67,7.0,2018.0
2018-07-09,groww,consumer internet,online platform that sells direct plans of mutual funds,bengaluru,"insignia ventures partners, lightbridge partners & kairos",Seed/ Angel Funding,9.19,7.0,2018.0
2018-07-10,avenue growth,consumer internet,online platform that connects brands with freelance sales professionals,gurugram,"avtar monga, chief operating office at idfc bank, aditya malik & others",Seed/ Angel Funding,3.65,7.0,2018.0
2018-07-10,kinara capital,finance,lending platform for micro and small enterprises,bengaluru,responsability,Private Equity,41.75,7.0,2018.0
2018-07-10,shop 101,consumer internet,mobile storefront and commerce platform for sellers,mumbai,"stellaris venture partners, vy capital, raghunandan g, and ramakant sharma",Private Equity,41.75,7.0,2018.0
2018-07-11,sambandh,consumer internet,online micro lending platform,rourkela,base of pyramid asia (bopa) pte ltd,Private Equity,4.17,7.0,2018.0
2018-07-12,19th mile,it,artificial intelligence-based sales acceleration software platform,gurugram,"rishi vasudev, excelsior investments, ritesh vohra, praveer kumar, prashant gupta and others",Seed/ Angel Funding,1.5,7.0,2018.0
2018-07-12,5th vital,healthcare,home diagnostics services provider,bengaluru,brand capital and others,Seed/ Angel Funding,4.17,7.0,2018.0
2018-07-13,mengage,healthcare,a doctor-patient engagement platform,jaipur,"siddharth agarwal, mahavir sharma, amit singal, 100 co-founders lab and others.",Seed/ Angel Funding,1.46,7.0,2018.0
2018-07-17,ofbusiness,finance,online lending platform for sme,gurugram,"creation investments, falcon edge, matrix partners india and zodius capital",Private Equity,75.15,7.0,2018.0
2018-07-17,cars24,consumer internet,online used car marketplace,gurugram,"kingsway fci fund, kck global & others",Private Equity,415.0,7.0,2018.0
2018-07-18,the ken,consumer internet,subscription-only news website,bengaluru,omidyar network & others,Seed/ Angel Funding,12.53,7.0,2018.0
2018-07-19,book my show,consumer internet,online ticketing platform,mumbai,"tpg growth, the rise fund & others",Private Equity,835.0,7.0,2018.0
2018-07-20,housingman,consumer internet,property discovery platform,bengaluru,,Seed/ Angel Funding,12.53,7.0,2018.0
2018-07-21,paysense,consumer internet,online consumer lending platform,mumbai,payu & others,Private Equity,150.3,7.0,2018.0
2018-07-23,vtion,technology,media analytics,gurugram,"angellist, rahul khanna, rajeev arora and ram ramsundar.",Seed/ Angel Funding,0.67,7.0,2018.0
2018-07-23,log9 materials,technology,nanotechnology company specializing in graphene,bengaluru,"metaform ventures, hemant luthra, micro venture capital firm gems partners and others",Seed/ Angel Funding,3.64,7.0,2018.0
2018-07-24,kidovators,ed-tech,skill learning platform,bengaluru,gray matters,Seed/ Angel Funding,1.5,7.0,2018.0
2018-07-24,digit,consumer internet,online insurance startup,pune,fairfax,Private Equity,375.75,7.0,2018.0
2018-07-25,black soil,finance,non-banking financial company,mumbai,"allcargo logistics, navneet education and mahavir agency",Private Equity,141.95,7.0,2018.0
2018-07-25,trell,consumer internet,mobile-first video blogging app,bengaluru,"beenext , weh ventures and sprout ventures",Seed/ Angel Funding,10.44,7.0,2018.0
2018-07-25,iqlect,technology,data analytics firm,bengaluru,ventureast and exfinity,Seed/ Angel Funding,4.17,7.0,2018.0
2018-07-26,entropik,it,software-as-a-service platform,bengaluru,"bharat innovation, idfc-parampara capital, arthavida ventures, jitendra gupta & others",Seed/ Angel Funding,9.19,7.0,2018.0
2018-07-26,thecapitalnet,fin-tech,unified global investments ecosystem,hyderabad,lindwall family investments llc (lfi),Private Equity,4.17,7.0,2018.0
2018-07-30,shuttl,consumer internet,bus aggregation platform,gurugram,amazon alexa fund & dentsu ventures,Private Equity,91.85,7.0,2018.0
2018-07-30,cure fit,consumer internet,health and fitness platform,bengaluru,"idg ventures, accel partners, kalaari capital and others",Private Equity,1002.0,7.0,2018.0
2018-07-31,five star group,fin-tech,non-bank lending platform for sme,chennai,"tpg, norwest venture partners, sequoia capital & matrix partners",Private Equity,835.0,7.0,2018.0
2018-07-31,healthsignz,healthcare,health and well being platform,hyderabad,kantilal patel,Seed/ Angel Funding,41.75,7.0,2018.0
2018-06-01,cointribe,finance,credit-based lending marketplace for small and medium enterprises,gurugram,"sabre partners, puneet dalmia & others",Private Equity,83.5,6.0,2018.0
2018-06-04,digiconectt,technology,sales analytics and enablement platform,bengaluru,aspire logistics llc,Seed/ Angel Funding,1.04,6.0,2018.0
2018-06-07,annapurna finance,finance,non-banking financial company,bhubneswar,oman india joint investment fund (oijif),Private Equity,25.05,6.0,2018.0
2018-06-07,meesho,consumer internet,online marketplace for resellers,bengaluru,"sequoia capital india, saif partners, y combinator and venture highway",Private Equity,96.03,6.0,2018.0
2018-06-10,ayefinance,finance,online lending platform,gurugram,"capitalg, saif partners and lgt impact ventures",Private Equity,12.53,6.0,2018.0
2018-06-12,alpha capital,finance,supplychain finance,mumbai,alpha capital,Private Equity,123.58,6.0,2018.0
2018-06-12,eshakti,e-commerce,fashion e-tailer,chennai,paragon partners,Private Equity,84.33,6.0,2018.0
2018-06-12,daily ninja,consumer internet,hyperlocal delivery platform,bengaluru,saama capital and sequoia capital,Seed/ Angel Funding,25.05,6.0,2018.0
