Date,Startup Name,Vertical,Sub Vertical,City,Investor,Round,Amount in Rs.,Month,Year
2015-11-02,cityflo,bus aggregation and rental mobile app,,mumbai,idg ventures,Seed Funding,6.26,11.0,2015.0
2015-11-03,pokkt,alternate mobile monetization platform,,mumbai,"segnel venture, shinji kimura, sundar chanrai, jafco asia, singtel\\xe2\\x80\\x99s innov8, jungle ventures, k ganesh",Private Equity,41.75,11.0,2015.0
2015-11-03,oibanit,online food ordering marketplace,,vadodara,"varun ahuja, anubhav verma",Seed Funding,1.25,11.0,2015.0
2015-11-03,stuffed,quick service restaurant & online delivery,,mumbai,riqueza capital,Seed Funding,3.21,11.0,2015.0
2015-11-03,loanbaba,online loans marketplace,,mumbai,,Seed Funding,2.67,11.0,2015.0
2015-11-03,deyor rooms,budget hotels aggregator,,new delhi,dheeraj jain & others,Seed Funding,4.17,11.0,2015.0
2015-11-03,bidgely,efficient energy management platform,,usa/india,"constellation technology ventures (exelon corporation), e.on, rwe, khosla ventures",Private Equity,138.61,11.0,2015.0
2015-11-04,shirsa labs,digital intelligent learning platform,,mumbai,ah! ventures,Seed Funding,0.42,11.0,2015.0
2015-11-04,yourdost,online counselling and psychological support platform,,gwalior,"phanindra sama, aprameya radhakrishna, aneesh reddy, neeraj jawalkar, sanjay anandaram, pavan ongole, venk krishnan",Seed Funding,3.34,11.0,2015.0
2015-11-05,bookmybai,domestic help aggregation platform,,mumbai,vineel nalla & others,Seed Funding,1.25,11.0,2015.0
2015-11-06,satvacart,online grocery platform,,gurgaon,undisclosed hnis,Private Equity,15.03,11.0,2015.0
2015-11-06,spareshub,online vehicle spare parts etailer,,pune,"hyderabad angels, m&s partners",Seed Funding,3.84,11.0,2015.0
2015-11-06,explara,event ticketing platform,,pune,"hyderabad angels, singapore angel network, ness wadia",Private Equity,4.09,11.0,2015.0
2015-11-06,yuvi hospitality,premium dining lounges & restaurants,,gurgaon,chandralekha construction pvt. ltd.,Private Equity,125.25,11.0,2015.0
2015-11-09,appvirality,mobile growth hacking\\nplatform,,hyderabad,"rajan anandan, mike galgon, ravi gururaj, ashim mehra,\\xc2\\xa0 mohit saxena, internet group, tnn capital and others",Seed Funding,4.17,11.0,2015.0
2015-11-09,istar skill development,skill training startup,,bangalore,"michael & susan dell foundation, unitus seed fund",Private Equity,12.53,11.0,2015.0
2015-11-09,bigstylist,beauty and wellness marketplace,,mumbai,info edge,Private Equity,8.35,11.0,2015.0
2015-11-09,zilingo,marketplace app for bangkok,,bangalore/ bangkok,"sequoia india, beenext ventures, kunal shah & sandeep tandon",Private Equity,15.87,11.0,2015.0
2015-11-09,didi,on-demand maids service provider,,mumbai,"jozef bardik, leo wang sangeeth ram",Seed Funding,1.25,11.0,2015.0
2015-11-09,skoov,ecommerce product search engine,,mumbai,undisclosed investor,Seed Funding,1.25,11.0,2015.0
2015-11-10,chefs basket,ready to cook packaged foods,,mumbai,"saif partners, haresh chawla",Private Equity,50.1,11.0,2015.0
2015-11-11,delight foods,branded food products online sales,,bangalore,"lensbridge capital, mape advisory group, fireside ventures",Private Equity,5.01,11.0,2015.0
2015-11-11,renewbuy,auto insurance online platform,,gurgaon,mount nathan advisors pte ltd,Seed Funding,4.17,11.0,2015.0
2015-11-12,hitwicket,cricket management mobile game,,hyderabad,chennai angels,Seed Funding,0.42,11.0,2015.0
2015-11-16,cashkaro,ecommerce discount & cashback coupons platform,,gurgaon,kalaari capital,Private Equity,30.89,11.0,2015.0
2015-11-16,absentia,virtual reality headset creator,,bangalore,"astarc ventures, 50k ventures & others",Seed Funding,1.5,11.0,2015.0
2015-11-16,taskbucks,mobile-only tasks marketplace,,new delhi,times internet,Private Equity,125.25,11.0,2015.0
2015-11-17,craftsvilla,women ethnic wear\\xc2\\xa0 online marketplace,,mumbai,"sequoia india, lightspeed venture partners, nexus venture partners, global founders capital, apoletto",Private Equity,283.9,11.0,2015.0
2015-11-17,julia computing,numerical computing & data science platform,,bangalore,gordon and betty moore foundation,Seed Funding,5.01,11.0,2015.0
2015-11-17,styletag,designer fashion jewellery marketplace,,bangalore,jitu virwani,Seed Funding,62.62,11.0,2015.0
2015-11-17,bibox,kids tool kit for innovation platform,,bangalore,ravi krishnamurthy,Seed Funding,4.43,11.0,2015.0
2015-11-17,convegenius,mobile learning solutions,,noida / singapore,enablers platform,Seed Funding,2.5,11.0,2015.0
2015-11-18,ola,car aggregator & retail mobile app,,bangalore,"baillie gifford, falcon edge capital, tiger global, softbank group, dst global, didi kuaidi",Private Equity,4175.0,11.0,2015.0
2015-11-18,goodbox,conversational commerce mobile app,,bangalore,nexus venture partners,Private Equity,4.17,11.0,2015.0
2015-11-18,scoopwhoop,viral content web platform,,new delhi,kalaari capital,Private Equity,33.4,11.0,2015.0
2015-11-19,urbanclap,mobile services marketplace,,gurgaon,"bessemer venture partner, accel, saif partners",Private Equity,41.75,11.0,2015.0
2015-11-19,sensegiz,smartwatch maker,,belgaum,karnataka semiconductor venture capital firm,Seed Funding,4.17,11.0,2015.0
2015-11-19,fourseven,online jewellery etailer,,new delhi,indian angel network,Seed Funding,3.8,11.0,2015.0
2015-11-20,mindtickle,sales & productivity software,,pune / us,new enterprise associates,Private Equity,104.38,11.0,2015.0
2015-11-20,medinfi,health-tech platform,,bangalore,"ram kumar kakani, pradeep k jaisingh, sunil t v, vijay ghadge, hemant kaul, gurmeet chahal & others",Seed Funding,2.55,11.0,2015.0
2015-11-20,ouwt,nightlife discovery mobile app,,mumbai,undisclosed investors,Seed Funding,1.25,11.0,2015.0
2015-11-20,heypillow,online real estate marketplace,,bangalore,hampton capital,Private Equity,25.05,11.0,2015.0
2015-11-21,caravan craft,indian ethnic crafts etailer,,bangalore,"unitus seed fund, bijou kurien, narayan ramachandran",Private Equity,10.02,11.0,2015.0
2015-11-21,talkoot,social platform for traders and investors,,bangalore,undisclosed investors,Seed Funding,0.83,11.0,2015.0
2015-11-23,medikoe,healthcare services discovery platform,,bangalore,anil menon,Seed Funding,0.83,11.0,2015.0
2015-11-24,stylofie,health and beauty services marketplace,,gurgaon,swastika,Seed Funding,0.42,11.0,2015.0
2015-11-24,naaptol,online and tv shopping marketplace,,mumbai,"mitsui & co., new enterprise associates, canaan partners, silicon valley bank",Private Equity,434.2,11.0,2015.0
2015-11-25,earlysalary,mobile app based loan disbursement platform,,mumbai,ashok agarwal,Seed Funding,12.53,11.0,2015.0
2015-11-25,tooler,on demand laundry services app,,new delhi,"raghu khanna, sameer gupta",Seed Funding,0.92,11.0,2015.0
2015-11-25,s chand,education content provider,,new delhi,ifc everstone group,Private Equity,58.45,11.0,2015.0
2015-11-26,goqii,fitness tracking management solutions,,mumbai,"new enterprise associates, cheetah mobile",Private Equity,111.89,11.0,2015.0
2015-11-26,grofers,hyper-local grocery delivery platform,,gurgaon,"softbank, tiger global, sequoia capital, apoletto managers",Private Equity,1002.0,11.0,2015.0
2015-11-26,pluss,hyperlocal healthcare product delivery service provider,,gurgaon,"idg ventures, m & s partners, powerhouse ventures (usa).",Private Equity,8.35,11.0,2015.0
2015-11-30,baxi,two-wheeler taxi service,,gurgaon,"manish kheterpal, alok mittal,\\xc2\\xa0 puneet dalmia,",Seed Funding,12.11,11.0,2015.0
2015-11-30,superhero brands,character merchandize sales platform,,mumbai,dsg consumer partners,Seed Funding,4.51,11.0,2015.0
2015-11-30,qikpod,ecommerce delivery locker services,,bangalore,"flipkart, accel partners, delhivery, foxconn",Private Equity,75.15,11.0,2015.0
2015-10-01,muvizz,movie-on-demand platform,,singapore,"ashish todi, abhinav patodia, kumar shwetabh",Seed Funding,2.92,10.0,2015.0
2015-10-03,chillr,mobile payments app,,mumbai,sequoia capital,Private Equity,50.1,10.0,2015.0
2015-10-05,nykaa,beauty & wellness products e-tailer,,mumbai,"harsh mariwala, atul nishar, dalip pathak, michael carlos",Private Equity,79.33,10.0,2015.0
2015-10-05,voylla,fashion jewelry and accessories e-tailer,,jaipur,peepul capital,Private Equity,125.25,10.0,2015.0
2015-10-05,indialends,online consumer lending platform,,new delhi,"dsg consumer partners, paragon partners",Private Equity,8.35,10.0,2015.0
2015-10-05,rock n shop,premium apparel shopping portal,,new delhi,high networth individuals (undisclosed),Seed Funding,1.25,10.0,2015.0
2015-10-06,docplexus,exclusive platform for doctors & healthcare professionals,,pune,"uniqorn ventures, asp consulting",Seed Funding,5.84,10.0,2015.0
2015-10-06,workindia,job board,,mumbai,"satyen kothari, keshav sanghi, riddhesh gandhi & others",Seed Funding,4.17,10.0,2015.0
2015-10-06,sportzvillage,sports management & physical education business,,bangalore,gaja capital private equity fund,Private Equity,83.5,10.0,2015.0
2015-10-06,burger singh,qsr & online delivery portal,,gurgaon,"ashvin chadha, avtar monga, udaan angels, dheeraj jain",Seed Funding,4.17,10.0,2015.0
2015-10-06,welcome cure,online homeopathy clinic,,mumbai,unnamed media house and hnis,Private Equity,50.1,10.0,2015.0
2015-10-07,schoolguru,e-learning service provider,,mumbai,high networth individuals from india & usa,Private Equity,25.05,10.0,2015.0
2015-10-08,cube26,gesture based mobile development,,new delhi,"tiger global management, flipkart",Private Equity,64.3,10.0,2015.0
2015-10-08,grabhouse,rental accommodation search platform,,bangalore,sequoia and kalaari capital.,Private Equity,83.5,10.0,2015.0
2015-10-08,quifers,logistics tech platform,,mumbai,"vikas agarwal, vishal khare, sanjeev kakkar, smile group",Seed Funding,2.59,10.0,2015.0
2015-10-09,stockroom,developer portfolio showcase platform,,hyderabad,undisclosed investors,Seed Funding,0.58,10.0,2015.0
2015-10-09,cloud lending,end-to-end lending platform,,bangalore / san mateo,sf capital group,Private Equity,66.8,10.0,2015.0
2015-10-09,inayo,on-demand healthcare marketplace,,mumbai,"kemark ventures, amit ranjan, zishaan hayath and others",Seed Funding,2.5,10.0,2015.0
2015-10-09,kulzy,advertising & marketing community networking platform,,new delhi,"seedfund, bedrock ventures",Seed Funding,8.35,10.0,2015.0
2015-10-09,zeppery,food ordering & delivery app,,new delhi,suyash sharma,Seed Funding,0.64,10.0,2015.0
2015-10-12,zify,ride sharing platform,,hyderabad,sean o\\xe2\\x80\\x99sullivan & others,Seed Funding,1.59,10.0,2015.0
2015-10-12,gridle,cloud based collaboration platform,,ahmedabad,letsventure,Seed Funding,0.83,10.0,2015.0
2015-10-13,voodoo,mobile only shopping assistant,,new delhi,saif partners,Seed Funding,8.35,10.0,2015.0
2015-10-13,lookup,mobile messaging assistant app,,bangalore,"khosla impact, biz stone, catamaran ventures, global founders capital, european investment fund",Private Equity,4.17,10.0,2015.0
2015-10-14,askmygift,personalized wish list creator app,,noida,turning ideas,Seed Funding,0.42,10.0,2015.0
2015-10-14,zappfresh,raw meat & ready to eat food etailer,,gurgaon,undisclosed investors,Seed Funding,0.64,10.0,2015.0
2015-10-17,s-cube futuretech,structural & civil engg service automation,,mumbai,parampara capital,Private Equity,8.35,10.0,2015.0
2015-10-19,citrus payment,payments solution platform,,mumbai,"sequoia capital, ascent capital, econtext asia, beenos asia",Private Equity,41.75,10.0,2015.0
2015-10-19,holidify,travel destination discovery platform,,new delhi,aarti group,Seed Funding,0.83,10.0,2015.0
2015-10-20,opinio,last mile delivery service,,bangalore,"delhivery, sands capital and accel partners",Private Equity,58.45,10.0,2015.0
2015-10-20,attune technologies,healthcare it solutions & services,,chennai,"qualcomm venture, norwest venture partners",Private Equity,83.5,10.0,2015.0
2015-10-21,agentdesks,real estate mobile crm,,new york/ india,"sierra ventures, cota capital, vegas tech fund",Seed Funding,7.93,10.0,2015.0
2015-10-21,white owl brewery,micro-brewery,,mumbai,"arihant patni, raay global investments",Private Equity,12.78,10.0,2015.0
2015-10-21,mealhopper,home made food marketplace,,gurgaon,"alok bajpai, rajnish kumar, amit dey",Seed Funding,0.83,10.0,2015.0
2015-10-21,zenify,residential rental management platform,,bangalore,"atul jalan, shrikanth & bharath",Seed Funding,5.34,10.0,2015.0
2015-10-23,medd,personal diagnostic mobile app,,mumbai,group of angel investors,Seed Funding,1.25,10.0,2015.0
2015-10-23,leaping caravan,online food ordering & delivery service,,gurgaon,group of angel investors,Seed Funding,1.25,10.0,2015.0
2015-10-23,frsh,online food ordering & delivery service,,gurgaon,"mumbai angels, mayank bhangdia, kae capital",Private Equity,8.35,10.0,2015.0
2015-10-23,qik stay,hotel aggregator & booking platform,,new delhi,id enablers pvt ltd,Seed Funding,0.42,10.0,2015.0
2015-10-26,parcelled,online logistics platform,,bangalore,delhivery,Private Equity,41.75,10.0,2015.0
2015-10-26,almamapper,online student & campus social networking platform,,ahmedabad,oswal techno ventures llp,Seed Funding,3.34,10.0,2015.0
2015-10-26,flexing it,professionals & project search marketplace,,new delhi,undisclosed private investors,Seed Funding,4.17,10.0,2015.0
2015-10-26,netmeds,online pharmacy,,chennai,"orbimed, pradip dadha group",Private Equity,417.5,10.0,2015.0
2015-10-26,razorpay,online payment gateway,,jaipur,"tiger global management, matrix partners",Private Equity,75.15,10.0,2015.0
2015-10-27,happitoo,location based nightlife recommendation\\xc2\\xa0 platform,,mumbai,unnamed investor,Seed Funding,0.64,10.0,2015.0
2015-10-27,care24,professional health services platform,,mumbai,india quotient,Seed Funding,2.92,10.0,2015.0
2015-10-27,roadrunnr,hyperlocal logistics service,,bangalore,"sequoia capital, nexus venture partners",Private Equity,83.5,10.0,2015.0
2015-10-28,origa leasing,asset financing platform,,mumbai,"ah! ventures, 500 startups & other hnis",Seed Funding,9.19,10.0,2015.0
2015-10-29,zophop,public commute helper app,,mumbai,"amit singhal, pk gulati & others",Seed Funding,3.76,10.0,2015.0
2015-10-30,lifto,ridesharing mobile app,,mumbai,"rajesh bhatia, dheeraj mehta & others",Seed Funding,1.09,10.0,2015.0
2015-10-30,tinyowl,food discovery & delivery mobile app,,mumbai,"sequoia capital, matrix partners",Private Equity,62.62,10.0,2015.0
2015-10-30,kleeto,document digitization platform,,gurgaon,grex,Seed Funding,0.25,10.0,2015.0
2015-10-30,beaconstalk,proximity marketing & mobile advertising platform,,mumbai,puneet bhatia & others,Seed Funding,0.67,10.0,2015.0
2015-10-31,jugnoo,autorickshaw aggregator & booking platform,,chandigarh,paytm,Private Equity,83.5,10.0,2015.0
2015-09-01,toflo,fintech startup incubation platform,,mumbai,tania johny palathinkal,Seed Funding,0.83,9.0,2015.0
2015-09-01,stylecracker,personalized styling platform,,mumbai,group of hni investors,Private Equity,8.35,9.0,2015.0
2015-09-01,luxuryhues,luxury goods\\xc2\\xa0 shopping platform,,gurgaon,reliance capital,Private Equity,7.51,9.0,2015.0
2015-09-02,zivame,online lingerie marketplace,,bangalore,"zodius technology fund, khazanah nasional berhad",Private Equity,334.0,9.0,2015.0
2015-09-02,capillary tech,cloud software solutions,,new delhi,"warburg pincus, sequoia capital, norwest venture partners",Private Equity,375.75,9.0,2015.0
2015-09-03,jobspire,job search platform,,bangalore,purvi capital,Seed Funding,0.5,9.0,2015.0
2015-09-03,vistaar finance,small business financing (nbfc),,bangalore,"westbridge capital, omidyar network, elevar equity, saama capital,\\xc2\\xa0 lok capital",Private Equity,334.0,9.0,2015.0
2015-09-04,clapsnslaps,online movie review platform,,mumbai,r m picture company pvt. ltd.,Seed Funding,1.25,9.0,2015.0
2015-09-04,blubox,ecommerce brands\\xe2\\x80\\x99 full service agency,,mumbai,ashish jhalani,Seed Funding,0.83,9.0,2015.0
2015-09-07,youthkiawaaz,community driven news/views platform,,new delhi,"raghav bahl, ritu kapur",Seed Funding,5.01,9.0,2015.0
2015-09-07,prozo,study material marketplace,,new delhi,"nalin jain, shomil pant, dinesh kundu & others",Seed Funding,0.04,9.0,2015.0
2015-09-07,zomato,restaurant ratings & reviews platform,,gurgaon,"temasek, vy capital",Private Equity,501.0,9.0,2015.0
2015-09-07,sahayog dairy,dairy based product manufacturer,,bhopal,acumen fund,Private Equity,15.03,9.0,2015.0
2015-09-08,mockbank,government test preparation platform,,bangalore,blume ventures,Seed Funding,3.34,9.0,2015.0
2015-09-10,onlinetyari,multilingual test preparation platform,,gurgaon,"500 startups, tv mohandas pai, tandem capital, vikram chachra, aloke bajpai",Private Equity,6.43,9.0,2015.0
2015-09-10,industrybuying,industrial tools marketplace,,new delhi,"kalaari capital, saif partners, beenextan investment fund",Private Equity,76.82,9.0,2015.0
2015-09-10,the/nudge foundation,non profit organization to alleviate poverty,,bangalore,"nanadan nilekani, inmobi, paytm",Seed Funding,2.63,9.0,2015.0
2015-09-11,fitmein,gym & fitness studios subscription platform,,new delhi,green house ventures,Seed Funding,0.83,9.0,2015.0
2015-09-11,zapyle,pre-used apparel shopping mobile app,,bangalore,,Seed Funding,8.35,9.0,2015.0
2015-09-12,credr,used vehicles marketplace,,mumbai,eight road ventures,Private Equity,125.25,9.0,2015.0
2015-09-14,canvasflip,mobile app testing platform,,hyderabad,bessemer venture partners,Seed Funding,10.02,9.0,2015.0
2015-09-14,shadowfax,hyperlocal delivery services,,gurgaon,eight roads ventures,Private Equity,75.15,9.0,2015.0
2015-09-14,ue life sciences,early cancer detection solutions,,india/us,"aarin capital, unitus seed fund",Private Equity,25.05,9.0,2015.0
2015-09-14,ola cabs,cab rental mobile app,,bangalore,"falcon edge capital, ny based hedge fund, tiger global, softbank",Private Equity,41.75,9.0,2015.0
2015-09-15,moengage,mobile marketing automation platform,,bangalore,"helion venture partners, exfinity ventures",Private Equity,35.49,9.0,2015.0
2015-09-15,tea trails,chain of tea caf\\xc3\\xa9\\xe2\\x80\\x99s,,mumbai,"anil matai, vikram tandon, shyam sundar r & others",Seed Funding,8.35,9.0,2015.0
2015-09-15,room on call,branded budget hotel marketplace,,noida,payal syal,Seed Funding,2.5,9.0,2015.0
2015-09-16,chaipoint,food subscription platform,,bangalore,eight roads ventures,Private Equity,83.5,9.0,2015.0
2015-09-16,wedmegood,wedding planning platform,,gurgaon,indian angel network,Seed Funding,3.42,9.0,2015.0
2015-09-16,xstok,b2b mobile auction marketplace,,mumbai,oliphans capital,Seed Funding,3.76,9.0,2015.0
2015-09-17,yepme,private label fashion etailer,,gurgaon,"khazanah nasional berhad, helion venture partners",Private Equity,626.25,9.0,2015.0
2015-09-17,bueno,online food ordering & delivery,,gurgaon,high networth individuals (no details),Seed Funding,5.01,9.0,2015.0
2015-09-18,plabro,real estate broker platform app,,new delhi,"sachin bansal & binny bansal, sol primero, outbox ventures, sangram singh",Seed Funding,2.92,9.0,2015.0
2015-09-18,curejoy,online health & wellness platform,,bangalore,"accel partners, subrata mitra, larry braitman, venk krishna",Private Equity,9.6,9.0,2015.0
2015-09-18,briston technomach,internet of things platform,,new delhi,undisclosed,Seed Funding,1.25,9.0,2015.0
2015-09-18,labstreet,diagnostic labs aggregator platform,,gurgaon,multiple investors,Seed Funding,1.25,9.0,2015.0
2015-09-21,portea medical,home medical care services,,bangalore,"accel partners, international finance corporation (ifc), qualcomm ventures, ventureast",Private Equity,313.12,9.0,2015.0
2015-09-21,neotrade analytics,real-time stock data platform,,bangalore,rainmatter,Seed Funding,0.29,9.0,2015.0
2015-09-21,lafalafa,coupons and cashback aggregator app,,mumbai,500 startups,Seed Funding,1.04,9.0,2015.0
2015-09-22,bestdealfinance,financial services portal,,mumbai,"kalaari capital, yournest angel fund",Private Equity,25.05,9.0,2015.0
2015-09-22,virtual logic,"virtual reality, 3d simulation and stereoscopic products",,bangalore,swarnim multiventures,Private Equity,6.68,9.0,2015.0
2015-09-22,furdo,online interior designing platform,,bangalore,bhavdeep reddy,Seed Funding,3.34,9.0,2015.0
2015-09-22,loginext,end-to-end logistics platform,,mumbai,paytm,Private Equity,83.5,9.0,2015.0
2015-09-22,korra,private label apparel sales,,new delhi,asha jadeja motwani & others,Seed Funding,2.5,9.0,2015.0
2015-09-23,silverpush,cross-device retargeting platform,,gurgaon / sfo,m&s partners,Private Equity,10.02,9.0,2015.0
2015-09-23,juggernaut,digital & physical publishing platform,,new delhi,"william bissell, neeraj aggarwal, nandan nilekani",Private Equity,0.42,9.0,2015.0
2015-09-23,innerchef,food delivery platform,,new delhi,"phanindra sama, anupam mittal, vijay shekhar sharma, vishal gondal, sateesh andara & others",Private Equity,14.61,9.0,2015.0
2015-09-24,quintype,data driven publishing platform,,bangalore,raghav bahl,Private Equity,27.55,9.0,2015.0
2015-09-24,capabiliti,employee onboarding & orientation platform,,noida,"500 startups, smile multimedia, kunal bahl, rohit bansal, girish matrubootham",Seed Funding,3.34,9.0,2015.0
2015-09-24,licious,online meat ordering platform,,bangalore,"kanwaljit singh, tv mohandas pai",Seed Funding,8.35,9.0,2015.0
2015-09-28,ola cabs,cab booking app platform,,bangalore,didi kuaidi,Private Equity,250.5,9.0,2015.0
2015-09-29,paytm,e-commerce & m-commerce platform,,new delhi,"alibaba group, ant financial",Private Equity,5678.0,9.0,2015.0
2015-09-29,inmobi,mobile advertising platform,,bangalore,tennenbaum capital partners & others,Private Equity,835.0,9.0,2015.0
2015-09-29,peppertap,hyperlocal grocery delivery,,gurgaon,"sequoia india, saif partners.",Private Equity,300.6,9.0,2015.0
2015-09-29,zakoopi,fashion discovery platform,,new delhi,uniqorn ventures,Seed Funding,2.92,9.0,2015.0
2015-09-30,infoworks,big data management platform,,bangalore / usa,"nexus venture partners, knoll ventures and others",Private Equity,41.75,9.0,2015.0
2015-09-30,reddoorz,budget accommodation platform,,noida,jungle ventures,Seed Funding,8.35,9.0,2015.0
2015-09-30,eywa media,digital signal processing platform,,bangalore,"ah! ventures, viktor koenig pe fund, mantra ventures",Seed Funding,8.35,9.0,2015.0
2015-08-01,snapdeal,ecommerce marketplace,,new delhi,"alibaba, foxconn, softbank",Private Equity,4175.0,8.0,2015.0
2015-08-01,ressy,restaurant discount app,,pune,mohandas pai & others,Seed Funding,3.34,8.0,2015.0
2015-08-03,connect india,ecommerce logistics provider,,new delhi,aavishkaar,Private Equity,41.75,8.0,2015.0
2015-08-03,oyorooms,budget hotel accommodation brand,,new delhi,"softbank group, greenoaks capital, sequoia capital,\\xc2\\xa0 lightspeed india",Private Equity,835.0,8.0,2015.0
2015-08-03,wizrocket,user engagment & analytics platform,,mumbai,"accel partners, sequoia capital",Private Equity,80.16,8.0,2015.0
2015-08-04,pickingo,on-demand delivery logistics,,new delhi,"orios venture partners, zishaan hayath",Private Equity,10.86,8.0,2015.0
2015-08-05,grex,fund raising platform for startups,,pune,"kunal bajaj, chandru badrinarayanan",Seed Funding,5.43,8.0,2015.0
2015-08-05,letstransport,logistics tech platform,,bangalore,"rebright partners, ankush nijhawan, gaurav bhatnagar, manish dhingra",Seed Funding,10.86,8.0,2015.0
2015-08-05,zo rooms,online budget hotel chain,,new delhi,"tiger global management, orios venture partners",Private Equity,250.5,8.0,2015.0
2015-08-05,doormint,hyperlocal handyman services,,mumbai,"helion venture partners, kalaari capital",Private Equity,25.05,8.0,2015.0
2015-08-05,nightstay,hotel booking app,,noida,"bedrock ventures, rajesh sawhney, shailesh singh",Seed Funding,4.17,8.0,2015.0
2015-08-05,sunday realty solutions,tech platform for property brokers,,mumbai,"ramesh jogani, shailesh viswanathan, jay srinivasan",Seed Funding,6.55,8.0,2015.0
2015-08-06,appvigil,app security\\xc2\\xa0 testing platform,,mumbai,"ravi gururaj, gaurav sharma, viswanath ramachandran, ripplewave",Seed Funding,4.17,8.0,2015.0
2015-08-06,practo,doctor appointment booking app,,bangalore,"sofina, google capital, altimeter capital, sequoia capital global equities, yuri milner, sequoia capital, matrix partners",Private Equity,751.5,8.0,2015.0
2015-08-06,ketto,crowd funding platform,,mumbai,"chennai angels, calcutta angels, ah! ventures, intellecap impact investment network, indus age partners, singapore angel network, india internet fund, letsventure",Seed Funding,5.84,8.0,2015.0
2015-08-06,ezetap,mobile based pos solution,,bangalore,"horizons ventures, capricorn investment group, social+capital, helion advisors, berggruen holdings",Private Equity,41.75,8.0,2015.0
2015-08-07,carljr,fast food chain franchisee,,gurgaon,youwecan ventures,Seed Funding,5.26,8.0,2015.0
2015-08-07,easyrewardz,loyalty programs & reward points,,mumbai,"wealth first, ashneer grover, atul phadnis",Private Equity,4.17,8.0,2015.0
2015-08-10,mytaxiindia,taxi rental platform,,gurgaon,"nihon kotsu,",Private Equity,4.17,8.0,2015.0
2015-08-10,esadar,ecommerce,,new delhi,"neha vats, gaurav vats",Seed Funding,0.67,8.0,2015.0
2015-08-10,mypoolin,mobile social network,,new delhi,qprize from qualcomm ventures,Seed Funding,0.42,8.0,2015.0
2015-08-10,nearbuy (previously\\xc2\\xa0 groupon india),hyper-local ecommerce,,new delhi,sequoia capital,Private Equity,133.6,8.0,2015.0
2015-08-10,inkmonk,online printing marketplace,,chennai,"girish mathrubootham, phanindra sama, vikram chachra, others from letsventure",Seed Funding,0.42,8.0,2015.0
2015-08-10,tonetag,mobile payment software platform,,bangalore,reliance capital venture,Private Equity,8.35,8.0,2015.0
2015-08-10,grey orange,automated storage & warehousing solution,,gurgaon,tiger global management,Private Equity,250.5,8.0,2015.0
2015-08-11,livspace,home design & d\\xc3\\xa9cor solutions,,bangalore,"bessemer venture partners, jungle ventures, helion ventures",Private Equity,66.8,8.0,2015.0
2015-08-11,wow! momo,quick service restaurant chain,,kolkata,indian angel network,Seed Funding,13.36,8.0,2015.0
2015-08-11,raincan,subscription based online grocery platform,,pune,ajeet khurana & others,Seed Funding,0.83,8.0,2015.0
2015-08-11,infogain,business and it consulting,,new delhi / us,chryscapital,Private Equity,526.05,8.0,2015.0
2015-08-12,oneassist,credit card fraud protection solutions,,mumbai,"sequoia capital, lightspeed ventures",Private Equity,62.62,8.0,2015.0
2015-08-12,bigbasket,online & mobile grocery store,,bangalore,bessemer venture partners,Private Equity,417.5,8.0,2015.0
2015-08-12,sheroes,career community for women,,noida,"quintillion media, 500 startups",Seed Funding,6.43,8.0,2015.0
2015-08-12,scripbox,mutual fund investing platform,,bangalore,"accel partners, deep kalra, rajesh magow, mohit gupta, shamik sharma",Private Equity,4.17,8.0,2015.0
2015-08-13,etaout,ecommerce marketing software platform,,noida,"amit ranjan, vijay shekhar sharma, kunal bahl, girish mathrubootham &\\xc2\\xa0 group of other angel investors",Seed Funding,4.17,8.0,2015.0
2015-08-13,ifmr holdings,financial inclusion platform,,chennai,"accion, leapfrog investments, lok capital",Private Equity,41.75,8.0,2015.0
2015-08-13,agrostar,mobile commerce for farmers,,pune,idg ventures,Private Equity,33.4,8.0,2015.0
2015-08-14,voxweb,picture based social app,,mumbai,jitendra gupta & others,Seed Funding,0.83,8.0,2015.0
2015-08-14,trukky,logistics service platform,,ahmedabad,"gujarat based angel investors, mmy co-founder",Seed Funding,0.38,8.0,2015.0
2015-08-17,sampurnearth,waste management solutions,,mumbai,"intellecap impact investment network, family office fund",Seed Funding,1.34,8.0,2015.0
2015-08-17,shadowfax,on-demand delivery service,,gurgaon,"kunal bahl, rohit bansal, zishaan hayath, prashant malik",Seed Funding,2.59,8.0,2015.0
2015-08-18,roposo,fashion discovery platform,,gurgaon,tiger global,Private Equity,125.25,8.0,2015.0
2015-08-18,intelligencenode,data analytics platform,,mumbai,"new enterprise associates, orios venture partners",Private Equity,35.07,8.0,2015.0
2015-08-18,hyperverge,deep learning cloud algorithms,,chennai,"nea, milliways ventures, naya ventures",Seed Funding,8.35,8.0,2015.0
2015-08-18,zoojoo,corporate wellness app,,bangalore,roundglass partners,Private Equity,8.35,8.0,2015.0
2015-08-19,timesaverz,"hyperlocal maintenance, repair & cleaning services",,mumbai,"unilazer ventures,",Private Equity,3.34,8.0,2015.0
2015-08-20,labsadvisor,online diagnostic tests marketplace,,new delhi,group of angel investors,Seed Funding,1.3,8.0,2015.0
2015-08-20,flatpebble,online marketplace for photographers,,hyderabad,indian angel network,Seed Funding,5.01,8.0,2015.0
2015-08-20,bluegape,visual blogging platform,,new delhi,"ah! ventures, times internet, rudy gopalakrishnan",Seed Funding,5.01,8.0,2015.0
